종목코드,업종
126730,전자부품 제조업
452200,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
140430,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
347850,자연과학 및 공학 연구개발업
474490,금융 지원 서비스업
412540,특수 목적용 기계 제조업
451250,기타 화학제품 제조업
475250,금융 지원 서비스업
474930,금융 지원 서비스업
474660,금융 지원 서비스업
461030,자연과학 및 공학 연구개발업
475150,건물 건설업
475240,금융 지원 서비스업
455900,특수 목적용 기계 제조업
420570,기타 화학제품 제조업
437730,자동차 신품 부품 제조업
036220,의료용 기기 제조업
199430,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
473370,금융 지원 서비스업
469900,금융 지원 서비스업
472230,금융 지원 서비스업
473050,금융 지원 서비스업
468760,금융 지원 서비스업
278470,기타 화학제품 제조업
418620,소프트웨어 개발 및 공급업
360350,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
068100,일반 목적용 기계 제조업
452430,반도체 제조업
443670,상품 중개업
415380,기타 생활용품 소매업
472220,금융 지원 서비스업
472850,"섬유, 의복, 신발 및 가죽제품 소매업"
469480,금융 지원 서비스업
199550,의료용 기기 제조업
452400,자동차 신품 부품 제조업
066970,일차전지 및 이차전지 제조업
105760,일반 목적용 기계 제조업
460930,선박 및 보트 건조업
440290,기타 금융업
362990,광고업
471050,금융 지원 서비스업
457550,"그외 기타 전문, 과학 및 기술 서비스업"
267080,알코올음료 제조업
452190,특수 목적용 기계 제조업
022100,"건축기술, 엔지니어링 및 관련 기술 서비스업"
017860,기타 화학제품 제조업
467930,금융 지원 서비스업
469880,금융 지원 서비스업
109670,봉제의복 제조업
439580,기타 전문 도매업
417200,전자부품 제조업
432470,특수 목적용 기계 제조업
465320,금융 지원 서비스업
338840,자연과학 및 공학 연구개발업
355690,전자부품 제조업
466910,금융 지원 서비스업
453860,기타 화학제품 제조업
402490,반도체 제조업
452160,특수 목적용 기계 제조업
452280,기타 금속 가공제품 제조업
111380,"가죽, 가방 및 유사제품 제조업"
448280,기타 전문 서비스업
352090,플라스틱제품 제조업
450080,일차전지 및 이차전지 제조업
452300,기타 금융업
296160,자연과학 및 공학 연구개발업
365330,"구조용 금속제품, 탱크 및 증기발생기 제조업"
445090,반도체 제조업
464440,금융 지원 서비스업
446540,일차전지 및 이차전지 제조업
413640,소프트웨어 개발 및 공급업
451760,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
372320,자연과학 및 공학 연구개발업
088280,반도체 제조업
464680,금융 지원 서비스업
188260,그외 기타 제품 제조업
290560,소프트웨어 개발 및 공급업
240600,기타 금속 가공제품 제조업
221800,기타 과학기술 서비스업
432720,반도체 제조업
351020,봉제의복 제조업
396470,특수 목적용 기계 제조업
246250,"그외 기타 전문, 과학 및 기술 서비스업"
416180,자동차 신품 부품 제조업
445180,기초 화학물질 제조업
289170,기타 식품 제조업
462020,금융 지원 서비스업
451220,특수 목적용 기계 제조업
443250,광고업
454910,특수 목적용 기계 제조업
452980,금융 지원 서비스업
430690,소프트웨어 개발 및 공급업
418470,"서적, 잡지 및 기타 인쇄물 출판업"
450520,소프트웨어 개발 및 공급업
403490,"과실, 채소 가공 및 저장 처리업"
384470,소프트웨어 개발 및 공급업
465770,해상 운송업
452670,금융 지원 서비스업
146060,1차 철강 제조업
455310,금융 지원 서비스업
457630,금융 지원 서비스업
444920,금융 지원 서비스업
355390,소프트웨어 개발 및 공급업
458610,금융 지원 서비스업
418250,소프트웨어 개발 및 공급업
424960,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
092790,1차 철강 제조업
210120,"영화, 비디오물, 방송프로그램 제작 및 배급업"
457940,금융 지원 서비스업
448710,컴퓨터 및 주변장치 제조업
445680,의료용 기기 제조업
030190,기타 정보 서비스업
440110,반도체 제조업
373170,소프트웨어 개발 및 공급업
429270,반도체 제조업
446440,자연과학 및 공학 연구개발업
462520,"내화, 비내화 요업제품 제조업"
172670,반도체 제조업
450940,금융 지원 서비스업
388870,자연과학 및 공학 연구개발업
456700,"건축기술, 엔지니어링 및 관련 기술 서비스업"
438700,소프트웨어 개발 및 공급업
406820,기타 화학제품 제조업
455910,금융 지원 서비스업
432430,"영화, 비디오물, 방송프로그램 제작 및 배급업"
321370,전자부품 제조업
456570,의료용품 및 기타 의약 관련제품 제조업
378340,특수 목적용 기계 제조업
456490,금융 지원 서비스업
274400,소프트웨어 개발 및 공급업
354320,1차 비철금속 제조업
440320,소프트웨어 개발 및 공급업
232830,소프트웨어 개발 및 공급업
454640,금융 지원 서비스업
455250,금융 지원 서비스업
451700,금융 지원 서비스업
450050,금융 지원 서비스업
296520,생활용품 도매업
090460,전자부품 제조업
460850,1차 철강 제조업
460860,1차 철강 제조업
303360,의료용 기기 제조업
348080,자연과학 및 공학 연구개발업
439090,기타 화학제품 제조업
405920,음·식료품 및 담배 도매업
285800,플라스틱제품 제조업
457190,기초 화학물질 제조업
456040,기초 화학물질 제조업
420770,특수 목적용 기계 제조업
271830,특수 목적용 기계 제조업
434480,소프트웨어 개발 및 공급업
340810,소프트웨어 개발 및 공급업
456190,의료용품 및 기타 의약 관련제품 제조업
446840,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
417790,영상 및 음향기기 제조업
012210,기타 금속 가공제품 제조업
304360,의약품 제조업
298830,소프트웨어 개발 및 공급업
393210,소프트웨어 개발 및 공급업
424980,반도체 제조업
318160,기타 섬유제품 제조업
100090,1차 철강 제조업
448730,부동산 임대 및 공급업
453340,종합 소매업
448830,금융 지원 서비스업
448760,금융 지원 서비스업
452260,종합 소매업
358570,자연과학 및 공학 연구개발업
309960,기타 금융업
451800,부동산 임대 및 공급업
446150,금융 지원 서비스업
356680,소프트웨어 개발 및 공급업
282720,전기 및 통신 공사업
418420,전자부품 제조업
389020,반도체 제조업
417010,일반 목적용 기계 제조업
199730,자연과학 및 공학 연구개발업
344860,기타 화학제품 제조업
127980,전자부품 제조업
418550,"건축기술, 엔지니어링 및 관련 기술 서비스업"
411080,소프트웨어 개발 및 공급업
407400,가구 제조업
408900,"영화, 비디오물, 방송프로그램 제작 및 배급업"
419050,자동차 신품 부품 제조업
450140,자동차 판매업
417860,소프트웨어 개발 및 공급업
254490,기타 전문 도매업
052960,자동차 부품 및 내장품 판매업
425040,기초 화학물질 제조업
198940,1차 비철금속 제조업
380540,마그네틱 및 광학 매체 제조업
447690,의료용 기기 제조업
346010,전자부품 제조업
162300,1차 철강 제조업
377740,의료용품 및 기타 의약 관련제품 제조업
448780,의료용 기기 제조업
390110,의료용 기기 제조업
417180,기타 정보 서비스업
419530,"영화, 비디오물, 방송프로그램 제작 및 배급업"
102950,전자부품 제조업
311960,소프트웨어 개발 및 공급업
446070,제재 및 목재 가공업
168360,특수 목적용 기계 제조업
389470,자연과학 및 공학 연구개발업
419080,특수 목적용 기계 제조업
084440,소프트웨어 개발 및 공급업
204610,소프트웨어 개발 및 공급업
425420,전자부품 제조업
372170,특수 목적용 기계 제조업
383930,자연과학 및 공학 연구개발업
348340,특수 목적용 기계 제조업
417500,기타 화학제품 제조업
108320,반도체 제조업
405100,"그외 기타 전문, 과학 및 기술 서비스업"
417840,특수 목적용 기계 제조업
419120,소프트웨어 개발 및 공급업
434190,일차전지 및 이차전지 제조업
405000,의료용 기기 제조업
291810,소프트웨어 개발 및 공급업
378800,기초 의약물질 제조업
419540,의료용 기기 제조업
360070,일차전지 및 이차전지 제조업
389500,일반 목적용 기계 제조업
368970,동물용 사료 및 조제식품 제조업
417970,특수 목적용 기계 제조업
296640,소프트웨어 개발 및 공급업
441270,전자부품 제조업
432320,부동산 임대 및 공급업
067370,의약품 제조업
393890,일차전지 및 이차전지 제조업
314140,의약품 제조업
413300,"건축기술, 엔지니어링 및 관련 기술 서비스업"
394280,소프트웨어 개발 및 공급업
129920,특수 목적용 기계 제조업
403550,운송장비 임대업
148930,기타 금속 가공제품 제조업
107600,기타 화학제품 제조업
126720,건물설비 설치 공사업
368600,전자부품 제조업
365340,기초 화학물질 제조업
397030,자연과학 및 공학 연구개발업
341170,자연과학 및 공학 연구개발업
424760,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
328130,소프트웨어 개발 및 공급업
354390,의약품 제조업
403870,특수 목적용 기계 제조업
112290,기타 화학제품 제조업
402030,소프트웨어 개발 및 공급업
396270,반도체 제조업
412350,특수 목적용 기계 제조업
310210,자연과학 및 공학 연구개발업
377460,개인 및 가정용품 수리업
148780,소프트웨어 개발 및 공급업
382900,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
176590,기타 금속 가공제품 제조업
362320,생활용품 도매업
357430,부동산 임대 및 공급업
399720,반도체 제조업
389260,건물 건설업
389140,"영화, 비디오물, 방송프로그램 제작 및 배급업"
388050,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
413630,플라스틱제품 제조업
417310,부동산 임대 및 공급업
396300,기타 금속 가공제품 제조업
366030,의복 액세서리 제조업
388720,특수 목적용 기계 제조업
288980,소프트웨어 개발 및 공급업
408920,기타 사업지원 서비스업
376930,의료용 기기 제조업
146320,반도체 제조업
371950,전자부품 제조업
330730,기타 금융업
365900,운동 및 경기용구 제조업
370090,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
251120,기초 의약물질 제조업
211050,보험 및 연금관련 서비스업
137080,특수 목적용 기계 제조업
136410,플라스틱제품 제조업
276040,소프트웨어 개발 및 공급업
377330,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
373220,일차전지 및 이차전지 제조업
179530,의약품 제조업
102370,상품 중개업
169670,특수 목적용 기계 제조업
353590,자동차 부품 및 내장품 판매업
200350,"영화, 비디오물, 방송프로그램 제작 및 배급업"
403360,소프트웨어 개발 및 공급업
254160,제재 및 목재 가공업
404990,부동산 임대 및 공급업
199800,자연과학 및 공학 연구개발업
396690,부동산 임대 및 공급업
402420,의료용 기기 제조업
402340,기타 금융업
377480,소프트웨어 개발 및 공급업
361570,오디오물 출판 및 원판 녹음업
400760,부동산 임대 및 공급업
222160,특수 목적용 기계 제조업
290090,소프트웨어 개발 및 공급업
372800,소프트웨어 개발 및 공급업
311320,전자부품 제조업
357880,소프트웨어 개발 및 공급업
376300,소프트웨어 개발 및 공급업
389030,자연과학 및 공학 연구개발업
377300,금융 지원 서비스업
376180,그외 기타 제품 제조업
348370,기초 화학물질 제조업
377450,기타 정보 서비스업
382800,특수 목적용 기계 제조업
114840,기타 화학제품 제조업
261780,자연과학 및 공학 연구개발업
382480,특수 목적용 기계 제조업
391710,특수 목적용 기계 제조업
381970,자동차 판매업
376290,전자부품 제조업
159010,일반 목적용 기계 제조업
382840,특수 목적용 기계 제조업
257720,상품 종합 도매업
260970,기타 식품 제조업
377220,기타 식품 제조업
099430,기초 의약물질 제조업
329180,선박 및 보트 건조업
395400,부동산 임대 및 공급업
273640,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
203400,자연과학 및 공학 연구개발업
388790,통신 및 방송 장비 제조업
271940,그외 기타 운송장비 제조업
377190,부동산 임대 및 공급업
308080,자연과학 및 공학 연구개발업
139990,1차 철강 제조업
089860,운송장비 임대업
099390,소프트웨어 개발 및 공급업
315640,소프트웨어 개발 및 공급업
372910,의료용 기기 제조업
058970,소프트웨어 개발 및 공급업
367000,소프트웨어 개발 및 공급업
376980,소프트웨어 개발 및 공급업
259960,소프트웨어 개발 및 공급업
195940,의약품 제조업
178920,플라스틱제품 제조업
323410,은행 및 저축기관
270660,가정용 기기 제조업
377030,소프트웨어 개발 및 공급업
365270,자연과학 및 공학 연구개발업
137310,의료용 기기 제조업
352910,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
097520,영상 및 음향기기 제조업
357580,전자부품 제조업
318660,소프트웨어 개발 및 공급업
303530,소프트웨어 개발 및 공급업
232680,특수 목적용 기계 제조업
379390,"건축기술, 엔지니어링 및 관련 기술 서비스업"
187660,자연과학 및 공학 연구개발업
383310,기타 화학제품 제조업
383800,기타 금융업
363250,의료용 기기 제조업
276730,알코올음료 제조업
383220,봉제의복 제조업
361670,전자부품 제조업
252990,전자부품 제조업
352480,기타 화학제품 제조업
357230,기타 식품 제조업
361610,일차전지 및 이차전지 제조업
294570,기타 정보 서비스업
351330,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
059270,기타 금속 가공제품 제조업
333620,기타 전기장비 제조업
289220,"영화, 비디오물, 방송프로그램 제작 및 배급업"
361390,통신 및 방송 장비 제조업
347700,소프트웨어 개발 및 공급업
302440,기초 의약물질 제조업
314930,의료용 기기 제조업
950220,자연과학 및 공학 연구개발업
378850,자동차 신품 부품 제조업
356890,소프트웨어 개발 및 공급업
334970,의약품 제조업
247660,전자부품 제조업
338220,소프트웨어 개발 및 공급업
373200,그외 기타 제품 제조업
340930,특수 목적용 기계 제조업
189330,소프트웨어 개발 및 공급업
322310,특수 목적용 기계 제조업
239890,기초 화학물질 제조업
363260,광고업
262840,소프트웨어 개발 및 공급업
950210,자연과학 및 공학 연구개발업
277810,특수 목적용 기계 제조업
321820,소프트웨어 개발 및 공급업
248070,전자부품 제조업
163730,소프트웨어 개발 및 공급업
348030,소프트웨어 개발 및 공급업
352700,화학섬유 제조업
086710,기타 화학제품 제조업
375500,토목 건설업
236810,광고업
368770,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
257990,기타 화학제품 제조업
253610,기타 전문 도매업
365550,부동산 임대 및 공급업
369370,창작 및 예술관련 서비스업
357550,기초 화학물질 제조업
314130,기초 의약물질 제조업
335810,의료용 기기 제조업
347860,소프트웨어 개발 및 공급업
365590,반도체 제조업
064850,기타 정보 서비스업
356860,전자부품 제조업
352940,"비료, 농약 및 살균, 살충제 제조업"
354200,"그외 기타 전문, 과학 및 기술 서비스업"
317690,의료용 기기 제조업
009900,자동차 신품 부품 제조업
352770,의료용품 및 기타 의약 관련제품 제조업
318020,컴퓨터 및 주변장치 제조업
129890,컴퓨터 및 주변장치 제조업
265740,기타 화학제품 제조업
199820,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
299030,특수 목적용 기계 제조업
244920,보험 및 연금관련 서비스업
340570,의료용품 및 기타 의약 관련제품 제조업
348150,자연과학 및 공학 연구개발업
330860,"그외 기타 전문, 과학 및 기술 서비스업"
339770,음·식료품 및 담배 도매업
290690,전구 및 조명장치 제조업
348350,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
347000,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
301300,소프트웨어 개발 및 공급업
122830,소프트웨어 개발 및 공급업
214610,의료용 기기 제조업
304840,의료용품 및 기타 의약 관련제품 제조업
352820,오디오물 출판 및 원판 녹음업
348210,특수 목적용 기계 제조업
053080,일반 목적용 기계 제조업
126340,일차전지 및 이차전지 제조업
359090,"그외 기타 전문, 과학 및 기술 서비스업"
323990,자연과학 및 공학 연구개발업
363280,기타 금융업
318410,기타 화학제품 제조업
355150,반도체 제조업
347770,전자부품 제조업
291650,자연과학 및 공학 연구개발업
294090,의료용 기기 제조업
293490,소프트웨어 개발 및 공급업
347740,"그외 기타 전문, 과학 및 기술 서비스업"
357120,부동산 임대 및 공급업
332370,컴퓨터 및 주변장치 제조업
331920,기초 의약물질 제조업
950190,소프트웨어 개발 및 공급업
337930,기타 정보 서비스업
060850,소프트웨어 개발 및 공급업
032300,의약품 제조업
348950,부동산 임대 및 공급업
357780,기타 화학제품 제조업
357250,부동산 임대 및 공급업
350520,부동산 임대 및 공급업
332570,전자부품 제조업
101360,기타 화학제품 제조업
347890,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
298540,의복 액세서리 제조업
225220,기초 의약물질 제조업
304100,소프트웨어 개발 및 공급업
266470,자연과학 및 공학 연구개발업
277880,특수 목적용 기계 제조업
262260,기타 전기장비 제조업
334890,부동산 임대 및 공급업
950200,"그외 기타 전문, 과학 및 기술 서비스업"
290520,특수 목적용 기계 제조업
330350,의약품 제조업
326030,자연과학 및 공학 연구개발업
169330,시장조사 및 여론조사업
229000,의료용품 및 기타 의약 관련제품 제조업
322970,자연과학 및 공학 연구개발업
297890,특수 목적용 기계 제조업
351320,특수 목적용 기계 제조업
298060,의약품 제조업
353190,기타 식품 제조업
353810,동물용 사료 및 조제식품 제조업
223250,자연과학 및 공학 연구개발업
353200,전자부품 제조업
343090,의료용품 및 기타 의약 관련제품 제조업
198080,전자부품 제조업
237820,광고업
092190,반도체 제조업
204270,전자부품 제조업
274090,"항공기,우주선 및 부품 제조업"
294140,화학섬유 제조업
294630,기타 전기장비 제조업
065370,소프트웨어 개발 및 공급업
344820,유리 및 유리제품 제조업
340440,플라스틱제품 제조업
341310,기타 섬유제품 제조업
311690,자연과학 및 공학 연구개발업
238170,합성고무 및 플라스틱 물질 제조업
062970,통신 및 방송 장비 제조업
327260,전자부품 제조업
339950,일반 교습 학원
288330,기초 의약물질 제조업
340360,통신 및 방송 장비 제조업
235980,자연과학 및 공학 연구개발업
336570,의료용 기기 제조업
226330,소프트웨어 개발 및 공급업
322510,소프트웨어 개발 및 공급업
124560,기타 운송관련 서비스업
335870,"섬유, 의복, 신발 및 가죽제품 소매업"
317860,기타 화학제품 제조업
302550,의료용 기기 제조업
338100,부동산 임대 및 공급업
335890,의료용 기기 제조업
336040,의료용 기기 제조업
250030,기타 화학제품 제조업
336060,소프트웨어 개발 및 공급업
337840,의료용 기기 제조업
278650,자연과학 및 공학 연구개발업
308170,자동차 신품 부품 제조업
321550,자연과학 및 공학 연구개발업
297090,일반 목적용 기계 제조업
103840,"과실, 채소 가공 및 저장 처리업"
190650,금융 지원 서비스업
322000,반도체 제조업
306040,"가죽, 가방 및 유사제품 제조업"
216080,의료용품 및 기타 의약 관련제품 제조업
272210,전자부품 제조업
214260,기타 화학제품 제조업
084850,전자부품 제조업
333430,선박 및 보트 건조업
317400,부동산 임대 및 공급업
279600,소프트웨어 개발 및 공급업
322180,소프트웨어 개발 및 공급업
333050,소프트웨어 개발 및 공급업
330590,부동산 임대 및 공급업
013890,가구 제조업
331520,소프트웨어 개발 및 공급업
317530,"영화, 비디오물, 방송프로그램 제작 및 배급업"
331660,기타 화학제품 제조업
272110,반도체 제조업
317870,그외 기타 제품 제조업
318010,기타 식품 제조업
336260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
300120,소프트웨어 개발 및 공급업
336370,전자부품 제조업
036420,"영화, 비디오물, 방송프로그램 제작 및 배급업"
158430,소프트웨어 개발 및 공급업
234690,의약품 제조업
332290,"비료, 농약 및 살균, 살충제 제조업"
331380,영상 및 음향기기 제조업
093510,자동차 신품 부품 제조업
244460,기초 의약물질 제조업
317120,반도체 제조업
320000,특수 목적용 기계 제조업
256150,일반 목적용 기계 제조업
149300,자연과학 및 공학 연구개발업
311390,기타 식품 제조업
195500,"도축, 육류 가공 및 저장 처리업"
328380,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
286750,기초 화학물질 제조업
317830,특수 목적용 기계 제조업
228670,의료용 기기 제조업
186230,1차 비철금속 제조업
282880,특수 목적용 기계 제조업
317330,기타 화학제품 제조업
318000,합성고무 및 플라스틱 물질 제조업
317770,전자부품 제조업
148150,전자부품 제조업
313760,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
317850,특수 목적용 기계 제조업
241840,"영화, 비디오물, 방송프로그램 제작 및 배급업"
300080,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
234340,기타 정보 서비스업
289010,"서적, 잡지 및 기타 인쇄물 출판업"
327610,의료용 기기 제조업
251970,플라스틱제품 제조업
312610,일차전지 및 이차전지 제조업
323280,특수 목적용 기계 제조업
293780,자연과학 및 공학 연구개발업
308100,"섬유, 의복, 신발 및 가죽제품 소매업"
305090,의료용 기기 제조업
322780,"영화, 비디오물, 방송프로그램 제작 및 배급업"
321260,반도체 제조업
003670,일차전지 및 이차전지 제조업
253840,의료용품 및 기타 의약 관련제품 제조업
307930,기타 금융업
319660,특수 목적용 기계 제조업
319400,일반 목적용 기계 제조업
317240,기타 화학제품 제조업
279060,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
125210,전자부품 제조업
307950,소프트웨어 개발 및 공급업
228760,자연과학 및 공학 연구개발업
099750,소프트웨어 개발 및 공급업
100790,기타 금융업
192650,전자부품 제조업
192080,소프트웨어 개발 및 공급업
247540,일차전지 및 이차전지 제조업
299660,자연과학 및 공학 연구개발업
316140,기타 금융업
278280,기초 화학물질 제조업
246960,의료용품 및 기타 의약 관련제품 제조업
104620,여행사 및 기타 여행보조 서비스업
053580,소프트웨어 개발 및 공급업
311060,특수 목적용 기계 제조업
